resolution,augmentation,aug_desc,accuracy,acc_ci_low,acc_ci_high,auc,auc_ci_low,auc_ci_high,precision,recall,f1,mean_fold_acc,std_fold_acc,mean_fold_auc,std_fold_auc,n_folds,time_sec
128,none,No augmentation (baseline),0.6963434022257552,0.6462698002754821,0.7442261178172611,0.7320796325894754,0.6671439126603437,0.8023828656816981,0.7133550488599348,0.6801242236024845,0.6963434022257552,0.6986228590456689,0.09248024276666043,0.7687586559656834,0.09386245267856304,10,23554.134979486465
128,conservative,"±5° rotation, ±10% brightness/contrast",0.6724960254372019,0.6102578531412566,0.7366903008191643,0.7245938454690757,0.6545497003956035,0.8050168736807709,0.6442786069651741,0.8043478260869565,0.7154696132596685,0.6743829590199735,0.11846143399917548,0.7697364301165911,0.11675314468964003,10,21857.05847978592
128,moderate,"±10° rotation, ±15% brightness/contrast (paper default)",0.6502384737678856,0.5858211023622047,0.7138418321346706,0.7174924636332369,0.6474551392591623,0.789452139710193,0.6363636363636364,0.7391304347826086,0.6839080459770115,0.6514169316453494,0.08359110166214423,0.7515160717064793,0.11849367413396114,10,24214.836925268173
160,none,No augmentation (baseline),0.6931637519872814,0.6371024614495916,0.74925,0.749307058894936,0.6741176247686461,0.8197355133261234,0.6902654867256637,0.7267080745341615,0.708018154311649,0.6932833607911475,0.06802833010603947,0.7643291344099431,0.1275104652716762,10,32875.821967601776
160,conservative,"±5° rotation, ±10% brightness/contrast",0.6359300476947536,0.5806849703078606,0.6966704355108878,0.6832298136645962,0.6162477938862958,0.7585532640588825,0.6171284634760705,0.7608695652173914,0.6815020862308763,0.6349650732874526,0.08139028965461946,0.736254064151074,0.10355662975657273,10,32945.541338443756
160,moderate,"±10° rotation, ±15% brightness/contrast (paper default)",0.6684587813620072,0.5986193575816218,0.736253182250974,0.7211554527344002,0.6301290753653502,0.8069333238745501,0.6445086705202312,0.7824561403508772,0.7068145800316957,0.6709249902334841,0.10165075272242943,0.7445480428600745,0.1289759702569414,9,0.0
