model,resolution,augmentation,accuracy,acc_ci_low,acc_ci_high,auc,auc_ci_low,auc_ci_high,precision,recall,f1,mean_fold_acc,std_fold_acc,mean_fold_auc,std_fold_auc,n_folds,time_sec
ResNet50+MeanPool,128,none,0.6899841017488076,0.6247876277418762,0.7545577871740662,0.7371173650029336,0.6536354659706288,0.8265142520813968,0.6884272997032641,0.7204968944099379,0.7040971168437026,0.6900042334884445,0.09453814657818996,0.7501141106571978,0.15444358001465094,10,22188.10759472847
ResNet50+LSTM,128,none,0.6470588235294118,0.5885046009215121,0.7117779877713111,0.6871143302243713,0.6158790986605736,0.764808103478892,0.6602564102564102,0.639751552795031,0.6498422712933754,0.6440453210798167,0.07336551895529568,0.737541546760941,0.14213164178834942,10,22227.475212097168
